ID,FirstName,MiddleInitial,LastName,DateOfBirth,DateOfEmployment,Status
3177f8ad-a1b0-4b54-bb98-eff24c203c18,Shera,O,Medina,2009-07-20,1991-02-02,ACTIVE
66716166-47b2-4e7d-92b8-42d6a206f4e8,Qiana,C,Moita,2012-09-12,2006-12-26,ACTIVE
6b4f54eb-a86f-4190-8b31-75b4320895f7,Tonia,J,Zambujal,1980-09-06,1987-11-23,INACTIVE
79f6e270-1fa9-44bc-82cb-e7eb0f1c6a04,Shameka,C,Carreira,1977-11-14,1971-11-06,ACTIVE
9bbea6fd-142c-49c4-9509-370f281811e6,Palma,N,Cook,2011-09-17,1986-09-25,INACTIVE
0c232626-3dc6-43fb-97d8-df392ac99510,Marti,U,Damásio,1995-09-13,1977-04-20,INACTIVE
8af9e4b3-4645-4cb3-8b06-1c45ead0f48d,Leif,G,Murphy,1980-11-16,1997-03-16,ACTIVE
1994a4f2-99d7-492c-9ca4-30a3841ebb35,Josefina,N,Ferreira,2008-06-19,2003-03-13,INACTIVE
304fc27f-d0ff-4c1c-8d3d-3976058db733,Hank,T,Young,1997-03-17,2010-04-30,ACTIVE
24088795-bf74-4c37-a260-fa8f371b14b6,Elias,M,Clementino,1988-08-14,2004-07-13,INACTIVE
0bd93e71-8ca9-4725-a84b-ae4c6be722ca,Glory,J,Jackson,1970-06-05,1976-08-21,ACTIVE
8f7e73b1-bbe0-4b15-b98d-1fda5ba771f4,Edgar,B,Moreira,2001-12-15,2007-07-24,INACTIVE
82726eb7-b1fc-4e21-a921-df7af1f516f7,Benedict,P,Ramírez,2003-10-12,1993-06-04,INACTIVE
d81c3bd6-51e3-4e33-a02e-a3ad1dec1b3d,Young,E,Vergara,2001-08-11,1983-09-09,ACTIVE
49a6a267-9568-4cc3-bd4e-f40fa87524d0,Tamika,B,Quintela,1979-11-15,2006-05-08,INACTIVE
1201072a-832f-437b-a8d4-3f3c4c379a98,Rosanne,M,VanDyk,2015-12-13,2009-09-22,ACTIVE
63accf34-8b59-462a-92d6-c065386a713d,Necole,S,Saltão,2011-04-16,1992-08-14,ACTIVE
5937f9b8-4cc4-485e-869a-6c974988e2d2,Maire,P,Aragão,1987-09-05,1975-04-22,INACTIVE
94c49bf8-e047-4b54-957d-4254a62b3181,Kyla,E,Temes,2010-01-11,1978-12-30,ACTIVE
fa96e68a-670e-4ceb-9b08-ce6b475d2b7e,Sierra,A,Correia,1980-03-22,1978-04-27,INACTIVE
14907507-9522-4fbb-947c-c9775c2601da,Raymonde,A,King,1991-04-06,1993-02-25,ACTIVE
46910d0a-e27a-4af5-8a3c-61b397539dcc,Michiko,N,Sandoval,2014-03-30,2017-01-15,INACTIVE
8895298f-19d7-4c22-96d7-05c7707aaa01,Kelly,K,Peralta,1996-08-22,1979-09-22,ACTIVE
